To retrieve the time series for the selected ground motions, follow the instructions below. 
 
Go to the following link: ngawest2.berkeley.edu 
 
Select "No Scaling" and click submit. Enter RSN values (separated by commas) provided below under "Record Characteristics", and click Search Records. Download time series at the bottom of the resulting page by clicking "Download Time Series Records". 
 
Record Number 	 Record Sequence Number 	 Scale Factor 	 File Name Dir. 1 	 File Name Dir. 2 	 URL 1 	 URL 2 
61 	 8119 	   0.26 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
62 	 3934 	   1.21 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
63 	 182 	   0.62 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
64 	 1243 	   2.46 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
65 	 864 	   0.80 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
66 	 5284 	   2.40 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
67 	 320 	   2.95 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
68 	 3865 	   1.39 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
69 	 767 	   0.83 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
70 	 6891 	   2.66 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
71 	 5774 	   1.80 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
72 	 1119 	   0.36 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
73 	 1115 	   2.10 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
74 	 3678 	   1.08 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
75 	 235 	   3.62 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
76 	 4134 	   1.98 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
77 	 1508 	   0.54 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
78 	 1206 	   2.09 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
79 	 1294 	   1.70 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
80 	 1083 	   2.71 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
81 	 3559 	   4.63 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
82 	 1794 	   1.82 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
83 	 769 	   1.87 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
84 	 1182 	   0.72 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
85 	 4840 	   1.24 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
86 	 3270 	   1.42 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
87 	 2472 	   2.34 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
88 	 595 	   3.02 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
89 	 170 	   0.57 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
90 	 4071 	   1.53 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
91 	 787 	   1.10 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
92 	 1197 	   0.54 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
93 	 1025 	   3.75 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
94 	 3494 	   3.48 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
95 	 718 	   2.65 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
96 	 757 	   2.08 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
97 	 1063 	   0.29 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
98 	 337 	   1.98 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
99 	 1259 	   4.16 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
100 	 983 	   0.46 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
101 	 1059 	   3.77 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
102 	 802 	   0.71 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
103 	 1281 	   3.44 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
104 	 3747 	   0.94 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
105 	 1082 	   0.85 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
106 	 4066 	   2.67 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
107 	 8067 	   0.73 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
108 	 3460 	   4.76 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
109 	 3278 	   2.62 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
110 	 1044 	   0.37 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
111 	 1227 	   0.78 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
112 	 5985 	   0.85 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
113 	 3852 	   2.16 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
114 	 1605 	   0.54 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
115 	 6889 	   0.94 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
116 	 2708 	   2.52 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
117 	 126 	   0.52 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
118 	 3756 	   1.39 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
119 	 1515 	   0.87 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
120 	 3264 	   1.07 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
121 	 993 	   2.56 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
122 	 1536 	   0.55 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
123 	 1282 	   1.64 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
124 	 2107 	   3.15 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
125 	 580 	   1.19 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
126 	 4869 	   1.99 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
127 	 949 	   1.07 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
128 	 4203 	   2.38 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
129 	 564 	   1.25 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
130 	 3943 	   1.71 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
131 	 95 	   1.38 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
132 	 143 	   0.50 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
133 	 2111 	   2.14 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
134 	 5623 	   3.77 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
135 	 1787 	   0.60 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
136 	 778 	   0.92 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
137 	 1000 	   3.01 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
138 	 963 	   0.59 	  	  	 ngawest2.berkeley.edu 	 ngawest2.berkeley.edu 
